first_name,last_name,birth_date,nationality,position
Oscar,Bobb,2003-07-12,Norway,Forward
Jayden,Bogle,2000-07-27,England,Defender
Willy,Boly,1991-02-03,Ivory Coast,Defender
Sven,Botman,2000-01-12,Netherlands,Defender
Jarrod,Bowen,1996-12-20,England,Forward
Conor,Bradley,2003-07-09,Northern Ireland,Defender
Jarrad,Branthwaite,2002-06-27,England,Defender
Ben,Brereton,1999-04-18,Chile,Forward
Rhian,Brewster,2000-04-01,England,Forward
Ethan,Brierley,2003-11-23,England,Midfielder
Armando,Broja,2001-09-10,Albania,Forward
Joshua,Brooking,2002-09-01,England,Defender
Andre,Brooks,2003-08-20,England,Midfielder
Jacob,Brown,1998-04-10,Scotland,Forward
Josh,Brownhill,1995-12-19,England,Midfielder
Bruno,Fernandes,1994-09-08,Portugal,Midfielder
Bruno,Guimarães,1997-11-16,Brazil,Midfielder
Jacob,Bruun Larsen,1998-09-19,Denmark,Forward
Bryan,Gil,2001-02-11,Spain,Midfielder
Emiliano,Buendía,1996-12-25,Argentina,Midfielder
Santiago,Bueno,1998-11-09,Uruguay,Defender
Facundo,Buonanotte,2004-12-23,Argentina,Midfielder
Reece,Burke,1996-09-02,England,Defender
Dan,Burn,1992-05-09,England,Defender
Moisés,Caicedo,2001-11-02,Ecuador,Midfielder
Tom,Cairney,1991-01-20,Scotland,Midfielder
Dominic,Calvert-Lewin,1997-03-16,England,Forward
Scott,Carson,1985-09-03,England,Goalkeeper
Cesare,Casadei,2003-01-10,Italy,Midfielder
Casemiro,,1992-02-23,Brazil,Midfielder
Kaelan,Casey,2004-10-28,England,Defender
Matty,Cash,1997-08-07,Poland,Defender
Timothy,Castagne,1995-12-05,Belgium,Defender
Leo,Castledine,2005-08-20,England,Midfielder
Cédric,,1991-08-31,Portugal,Defender
Trevoh,Chalobah,1999-07-05,England,Defender
Calum,Chambers,1995-01-20,England,Defender
Christian,Chigozie,2007-03-01,England,Defender
Ben,Chilwell,1996-12-21,England,Defender
Tawanda,Chirewa,2003-10-11,England,Midfielder
Leon,Chiwome,2006-01-10,England,Forward
Tahith,Chong,1999-12-04,Netherlands,Midfielder
Samy,Chouchane,2003-09-05,France,Midfielder
Ryan,Christie,1995-02-22,Scotland,Midfielder
Carney,Chukwuemeka,2003-10-20,England,Midfielder
Bobby,Clark,2005-02-07,England,Midfielder
Jordan,Clark,1993-09-22,England,Midfielder
Regan,Clayton,2004-11-11,England,Defender
Nathaniel,Clyne,1991-04-05,England,Defender
Séamus,Coleman,1988-10-11,Ireland,Defender
Nathan,Collins,2001-04-30,Ireland,Defender
Toby,Collyer,2004-01-03,England,Midfielder
Levi,Colwill,2003-02-26,England,Defender
Lewis,Cook,1997-02-03,England,Midfielder
Jack,Cork,1989-06-25,England,Midfielder
Maxwel,Cornet,1996-09-27,Ivory Coast,Midfielder
Vladimír,Coufal,1992-08-22,Czech Republic,Defender
Amario,Cozier-Duberry,2005-05-29,England,Midfielder
Billy,Crellin,2000-06-30,England,Goalkeeper
Aaron,Cresswell,1989-12-15,England,Defender
Cucurella,,1998-07-22,Spain,Defender
Josh,Cullen,1996-04-07,Ireland,Midfielder
Ted,Curd,2006-02-14,England,Goalkeeper
Sam,Curtis,2005-12-01,Ireland,Defender
Mikkel,Damsgaard,2000-07-03,Denmark,Midfielder
Danilo,,2001-04-29,Brazil,Midfielder
Arnaut,Danjuma,1997-01-31,Netherlands,Forward
Jayden,Danns,2006-01-16,England,Forward
Joshua,Dasilva,1998-10-23,England,Midfielder
David,Raya,1995-09-15,Spain,Goalkeeper
Adam,Davies,1992-07-17,Wales,Goalkeeper
Ben,Davies,1993-04-24,Wales,Defender
Tom,Davies,1998-06-30,England,Midfielder
Craig,Dawson,1990-05-06,England,Defender
Lucas,De Bolle,2002-10-22,Scotland,Midfielder
Kevin,De Bruyne,1991-06-28,Belgium,Midfielder
Bobby,De Cordova-Reid,1993-02-02,Jamaica,Forward
Luc,De Fougerolles,2005-10-12,England,Defender
Deivid,Washington,2005-06-05,Brazil,Forward
Hannes,Delcroix,1999-02-28,Belgium,Defender
Moussa,Diaby,1999-07-07,France,Forward
Amad,Diallo,2002-07-11,Ivory Coast,Midfielder
Amadou,Diallo,2003-02-15,England,Forward
Luis,Díaz,1997-01-13,Colombia,Forward
Matthew,Dibley-Dias,2003-10-29,England,Midfielder
Diego,Carlos,1993-03-15,Brazil,Defender
Diego,Moreira,2004-08-06,Portugal,Forward
Lucas,Digne,1993-07-20,France,Defender
Diogo,Dalot,1999-03-18,Portugal,Defender
Diogo,Jota,1996-12-04,Portugal,Forward
Issa,Diop,1997-01-09,France,Defender
Axel,Disasi,1998-03-11,France,Defender
Ben,Doak,2005-11-11,Scotland,Forward
Lewis,Dobbin,2003-01-03,England,Forward
Matt,Doherty,1992-01-16,Ireland,Defender
Jérémy,Doku,2002-05-27,Belgium,Forward
Nicolás,Domínguez,1998-06-28,Argentina,Midfielder
Dominic,Martins,2005-10-13,England,Midfielder
Jamie,Donley,2005-01-03,England,Forward
Alfie,Dorrington,2005-04-20,England,Defender
Abdoulaye,Doucouré,1993-01-01,Mali,Midfielder
Cheick,Doucouré,2000-01-08,Mali,Midfielder
Alfie,Doughty,1999-12-21,England,Midfielder
Douglas,Luiz,1998-05-09,Brazil,Midfielder
Tommy,Doyle,2001-10-17,England,Midfielder
Radu,Drăgușin,2002-02-03,Romania,Defender
Martin,Dúbravka,1989-01-15,Slovakia,Goalkeeper
Joshua,Duffus,2004-12-15,England,Forward
Paul,Dummett,1991-09-26,Wales,Defender
Lewis,Dunk,1991-11-21,England,Defender
Jhon,Durán,2003-12-13,Colombia,Forward
Kiano,Dyer,2006-11-21,England,Midfielder
George,Earthy,2004-09-05,England,Midfielder
Evan,Easton,2005-01-14,Scotland,Defender
Ederson,,1993-08-17,Brazil,Goalkeeper
Odsonne,Édouard,1998-01-16,France,Forward
John,Egan,1992-10-20,Ireland,Defender
Hjalmar,Ekdal,1998-10-21,Sweden,Defender
Anthony,Elanga,2002-04-27,Sweden,Forward
Harvey,Elliott,2003-04-04,England,Midfielder
Mohamed,Elneny,1992-07-11,Egypt,Midfielder
Emerson,,1994-08-03,Brazil,Defender
Emerson,Royal,1999-01-14,Brazil,Defender
Julio,Enciso,2004-01-23,Paraguay,Forward
Wataru,Endō,1993-02-09,Japan,Midfielder
Christian,Eriksen,1992-02-14,Denmark,Midfielder
Maxime,Estève,2002-05-26,France,Defender
Pervis,Estupiñán,1998-01-21,Ecuador,Defender
Jonny,Evans,1988-01-03,Northern Ireland,Defender
Eberechi,Eze,1998-06-29,England,Midfielder
Łukasz,Fabiański,1985-04-18,Poland,Goalkeeper
Fábio,Vieira,2000-05-30,Portugal,Midfielder
Romain,Faivre,1998-07-14,France,Midfielder
Felipe,Monteiro,1989-05-16,Brazil,Defender
Evan,Ferguson,2004-10-19,Ireland,Forward
Nathan,Ferguson,2000-10-06,England,Defender
Enzo,Fernández,2001-01-17,Argentina,Midfielder
Mark,Flekken,1993-06-13,Netherlands,Goalkeeper
Phil,Foden,2000-05-28,England,Forward
Wes,Foderingham,1991-01-14,England,Goalkeeper
David,Fofana,2002-12-22,Ivory Coast,Forward
Wesley,Fofana,2000-12-17,France,Defender
Omari,Forson,2004-07-20,England,Midfielder
Fraser,Forster,1988-03-17,England,Goalkeeper
Lyle,Foster,2000-09-03,South Africa,Forward
Nathan,Fraser,2005-02-22,England,Forward
Ryan,Fredericks,1992-10-10,England,Defender
Benjamin,Fredrick,2005-05-28,England,Defender
Tyler,Fredricson,2005-02-23,England,Defender
Gabriel,Jesus,1997-04-03,Brazil,Forward
Gabriel,Magalhães,1997-12-19,Brazil,Defender
Gabriel,Martinelli,2001-06-18,Brazil,Forward
Cody,Gakpo,1999-05-07,Netherlands,Forward
Conor,Gallagher,2000-02-06,England,Midfielder
Joe,Gardner,2005-06-06,England,Forward
Alejandro,Garnacho,2004-07-01,Argentina,Forward
James,Garner,2001-03-13,England,Midfielder
Joe,Gauci,2000-07-04,Australia,Goalkeeper
Billy,Gee,2005-07-30,England,Midfielder
Tyrique,George,2006-02-04,England,Forward
Saman,Ghoddos,1993-09-06,Iran,Forward
Morgan,Gibbs-White,2000-01-27,England,Midfielder
Alfie,Gilchrist,2003-11-28,England,Defender
Mark,Gillespie,1992-03-27,England,Goalkeeper
Billy,Gilmour,2001-06-11,Scotland,Midfielder
Ben,Godfrey,1998-01-15,England,Defender
Michael,Golding,2006-05-23,England,Midfielder
Joe,Gomez,1997-05-23,England,Defender
Enso,González,2005-01-20,Paraguay,Forward
Anthony,Gordon,2001-02-24,England,Forward
Kaide,Gordon,2004-10-05,England,Forward
True,Grant,2005-11-02,England,Goalkeeper
Ryan,Gravenberch,2002-05-16,Netherlands,Midfielder
Ivo,Grbić,1996-01-18,Croatia,Goalkeeper
Jack,Grealish,1995-09-10,England,Forward
Harvey,Griffiths,2003-09-22,England,Midfielder
Pascal,Groß,1991-06-15,Germany,Midfielder
Jóhann,Guðmundsson,1990-10-27,Iceland,Midfielder
Marc,Guéhi,2000-07-13,England,Defender
Idrissa,Gueye,1989-09-26,Senegal,Midfielder
Malo,Gusto,2003-05-19,France,Defender
Joško,Gvardiol,2002-01-23,Croatia,Defender
Erling,Haaland,2000-07-21,Norway,Forward
Lewis,Hall,2004-09-08,England,Defender
Tyrese,Hall,2005-09-04,England,Midfielder
Gustavo,Hamer,1997-06-24,Netherlands,Midfielder
Micah,Hamilton,2003-11-13,England,Midfielder
Owen,Hampson,2004-11-17,England,Midfielder
Aidan,Harris,2006-12-16,England,Goalkeeper
Taylan,Harris,2005-10-30,England,Forward
Adam,Harrison,2006-10-20,England,Goalkeeper
Jack,Harrison,1996-11-20,England,Forward
Ollie,Harrison,2007-08-07,England,Midfielder
Daiki,Hashioka,1999-05-17,Japan,Defender
Kortney,Hause,1995-07-16,England,Defender
Kai,Havertz,1999-06-11,Germany,Forward
Tom,Heaton,1986-04-15,England,Goalkeeper
Ayden,Heaven,2006-09-22,England,Defender
Karl,Hein,2002-04-13,Estonia,Goalkeeper
Dean,Henderson,1997-03-12,England,Goalkeeper
Wayne,Hennessey,1987-01-24,Wales,Goalkeeper
Rico,Henry,1997-07-08,England,Defender
Travis,Hernes,2005-11-04,England,Midfielder
Aaron,Hickey,2002-06-10,Scotland,Defender
James,Hill,2002-01-10,England,Defender
Tom,Hill,2002-10-13,England,Midfielder
Jack,Hinshelwood,2005-04-11,England,Midfielder
Rob,Holding,1995-09-20,England,Defender
Mason,Holgate,1996-10-22,England,Defender
Fletcher,Holman,2004-10-12,England,Forward
Pierre-Emile,Højbjerg,1995-08-05,Denmark,Midfielder
Rasmus,Højlund,2003-02-04,Denmark,Forward
Callum,Hudson-Odoi,2000-11-07,England,Forward
Will,Hughes,1995-04-17,England,Midfielder
Hugo,Bueno,2002-09-18,Spain,Defender
Mackenzie,Hunt,2001-11-14,England,Midfielder
James,Huntley,2004-03-02,England,Midfielder
Hee-chan,Hwang,1996-01-26,South Korea,Forward
Igor,,1998-02-07,Brazil,Defender
Danny,Ings,1992-07-23,England,Forward
Tim,Iroegbunam,2003-06-30,England,Midfielder
Alexander,Isak,1999-09-21,Sweden,Forward
Alex,Iwobi,1996-05-03,Nigeria,Midfielder
Benjamin,Jackson,2003-09-03,England,Defender
Louis,Jackson,2005-09-18,England,Defender
Nicolas,Jackson,2001-06-20,Senegal,Forward
Reece,James,1999-12-08,England,Defender
Vitaly,Janelt,1998-05-10,Germany,Midfielder
Daniel,Jebbison,2003-07-11,England,Forward
Mathias,Jensen,1996-01-01,Denmark,Midfielder
Raúl,Jiménez,1991-05-05,Mexico,Forward
João,Gomes,2001-02-12,Brazil,Midfielder
João,Palhinha,1995-07-09,Portugal,Midfielder
João,Pedro,2001-09-26,Brazil,Forward
João,Virgínia,1999-10-10,Portugal,Goalkeeper
Joelinton,,1996-08-14,Brazil,Midfielder
Ben,Johnson,2000-01-24,England,Defender
Brennan,Johnson,2001-05-23,Wales,Forward
Joe,Johnson,2006-02-21,England,Defender
Sam,Johnstone,1993-03-25,England,Goalkeeper
Curtis,Jones,2001-01-30,England,Midfielder
Jorginho,,1991-12-20,Italy,Midfielder
José,Sá,1993-01-17,Portugal,Goalkeeper
Issa,Kaboré,2001-05-12,Burkina Faso,Defender
Boubacar,Kamara,1999-11-23,France,Midfielder
Willy,Kambwala,2004-08-25,France,Defender
Thomas,Kaminski,1992-10-23,Belgium,Goalkeeper
Loris,Karius,1993-06-22,Germany,Goalkeeper
Leigh,Kavanagh,2003-12-27,Ireland,Defender
Michael,Keane,1993-01-11,England,Defender
Caoimhín,Kelleher,1998-11-23,Ireland,Goalkeeper
Lloyd,Kelly,1998-10-06,England,Defender
Omari,Kellyman,2005-09-15,England,Forward
Milos,Kerkez,2003-11-07,Hungary,Defender
Kaine,Kesler-Hayden,2002-10-23,England,Defender
Aaron,Keto-Diyawa,2003-09-11,England,Defender
Maximilian,Kilman,1997-05-23,England,Defender
Ji-soo,Kim,2004-12-24,South Korea,Defender
Joshua,King,2007-01-03,England,Midfielder
Tom,King,1995-03-09,England,Goalkeeper
Maxwell,Kinsey-Wellings,2005-02-02,England,Defender
Jakub,Kiwior,2000-02-15,Poland,Defender
Justin,Kluivert,1999-05-05,Netherlands,Forward
Jacob,Knightbridge,2004-01-25,England,Goalkeeper
Luca,Koleosho,2004-09-15,Italy,Forward
Yunus,Konak,2006-01-10,Turkey,Midfielder
Ibrahima,Konaté,1999-05-25,France,Defender
Ezri,Konsa,1997-10-23,England,Defender
Lewis,Koumas,2005-09-19,England,Forward
Cheikhou,Kouyaté,1989-12-21,Senegal,Midfielder
Mateo,Kovačić,1994-05-06,Croatia,Midfielder
Emil,Krafth,1994-08-02,Sweden,Defender
Tim,Krul,1988-04-03,Netherlands,Goalkeeper
Mohammed,Kudus,2000-08-02,Ghana,Forward
Dejan,Kulusevski,2000-04-25,Sweden,Midfielder
Levi,Laing,2003-04-12,England,Midfielder
Adam,Lallana,1988-05-10,England,Midfielder
Tariq,Lamptey,2000-09-30,Ghana,Defender
Lander,Emery,2003-03-29,England,Goalkeeper
Yasser,Larouci,2001-01-01,Algeria,Defender
Jamaal,Lascelles,1993-11-11,England,Defender
Roméo,Lavia,2004-01-06,Belgium,Midfielder
Mario,Lemina,1993-09-01,Gabon,Midfielder
Noha,Lemina,2005-06-17,France,Forward
Clément,Lenglet,1995-06-17,France,Defender
Bernd,Leno,1992-03-04,Germany,Goalkeeper
Jefferson,Lerma,1994-10-25,Colombia,Midfielder
Rico,Lewis,2004-11-21,England,Defender
Keane,Lewis-Potter,2001-02-22,England,Forward
Myles,Lewis-Skelly,2006-09-26,England,Midfielder
Victor,Lindelöf,1994-07-17,Sweden,Defender
Tino,Livramento,2002-11-12,England,Defender
Giovani,Lo Celso,1996-04-09,Argentina,Midfielder
Tom,Lockyer,1994-12-03,Wales,Defender
Albert,Loconga,1999-10-22,Belgium,Midfielder
Andy,Lonergan,1983-10-19,England,Goalkeeper
Sean,Longstaff,1997-10-30,England,Midfielder
Max,Lowe,1997-05-11,England,Defender
Lucas,Paquetá,1997-08-27,Brazil,Midfielder
Saša,Lukić,1996-08-13,Serbia,Midfielder
Alexis,Mac Allister,1998-12-24,Argentina,Midfielder
James,Maddison,1996-11-23,England,Midfielder
Noni,Madueke,2002-03-10,England,Forward
Harry,Maguire,1993-03-05,England,Defender
Mahamadou,Susoho,2005-01-20,England,Midfielder
Kobbie,Mainoo,2005-04-19,England,Midfielder
Tyrell,Malacia,1999-08-17,Netherlands,Defender
Solly,March,1994-07-20,England,Forward
Louie,Marsh,2004-07-02,England,Forward
Anthony,Martial,1995-12-05,France,Forward
Emiliano,Martínez,1992-09-02,Argentina,Goalkeeper
Lisandro,Martínez,1998-01-18,Argentina,Defender
Han-Noah,Massengo,2001-07-07,France,Midfielder
Jean-Philippe,Mateta,1997-06-28,France,Forward
Matheus,Cunha,1999-05-27,Brazil,Forward
Matheus,França,2004-04-01,Brazil,Midfielder
Matheus,Nunes,1998-08-27,Portugal,Midfielder
Roshaun,Mathurin,2004-01-23,England,Forward
Joel,Matip,1991-08-08,Cameroon,Defender
Remi,Matthews,1994-02-10,England,Goalkeeper
Neal,Maupay,1996-08-14,France,Forward
Mauro,Bandeira,2004-04-19,England,Midfielder
Konstantinos,Mavropanos,1997-12-11,Greece,Defender
Bryan,Mbeumo,1999-08-07,Cameroon,Forward
James,McAtee,2002-10-18,England,Midfielder
Oliver,McBurnie,1996-06-04,Scotland,Forward
James,McConnell,2004-09-13,England,Midfielder
Jamie,McDonnell,2004-02-16,England,Midfielder
Thomas,McGill,2000-03-25,England,Goalkeeper
John,McGinn,1994-10-18,Scotland,Midfielder
Callan,McKenna,2006-12-22,Scotland,Goalkeeper
Dwight,McNeil,1999-11-22,England,Midfielder
Scott,McTominay,1996-12-08,Scotland,Midfielder
Ben,Mee,1989-09-21,England,Defender
Dermot,Mee,2002-11-20,Ireland,Goalkeeper
Teden,Mengi,2002-04-30,England,Defender
Chris,Mepham,1997-11-05,Wales,Defender
Max,Merrick,2005-11-10,England,Goalkeeper
Jenson,Metcalfe,2004-09-06,England,Midfielder
Michael,Dacosta,2005-03-05,England,Forward
Lewis,Miley,2006-05-01,England,Midfielder
James,Milner,1986-01-04,England,Midfielder
Tyrone,Mings,1993-03-13,England,Defender
Tyrick,Mitchell,1999-09-01,England,Defender
Kaoru,Mitoma,1997-05-20,Japan,Forward
Jakub,Moder,1999-04-07,Poland,Midfielder
Gonzalo,Montiel,1997-01-01,Argentina,Defender
Mikey,Moore,2007-08-11,England,Forward
Carlton,Morris,1995-12-16,England,Forward
Mason,Mount,1999-01-10,England,Midfielder
Pelly-Ruddock,Mpanzu,1994-03-22,DR Congo,Midfielder
Fabian,Mrozek,2003-09-28,Poland,Goalkeeper
Divin,Mubama,2004-10-25,England,Forward
Mykhaylo,Mudryk,2001-01-05,Ukraine,Forward
Daniel,Muñoz,1996-05-25,Colombia,Defender
Finley,Munroe,2005-02-08,England,Defender
Aro,Murić,1998-11-07,Kosovo,Goalkeeper
Murillo,,2002-07-04,Brazil,Defender
Alex,Murphy,2004-06-25,Ireland,Defender
Jacob,Murphy,1995-02-24,England,Forward
Harrison,Murray-Campbell,2006-08-04,England,Defender
Mateusz,Musiałowski,2003-10-16,Poland,Forward
Vitaliy,Mykolenko,1999-05-29,Ukraine,Defender
Marvelous,Nakamba,1994-01-19,Zimbabwe,Midfielder
Amara,Nallo,2006-11-18,England,Defender
Reiss,Nelson,1999-12-10,England,Forward
Zack,Nelson,2005-04-21,England,Midfielder
Nélson,Semedo,1993-11-16,Portugal,Defender
Neto,,1989-07-19,Brazil,Goalkeeper
Moussa,Niakhaté,1996-03-08,France,Defender
Eddie,Nketiah,1999-05-30,England,Forward
Christopher,Nkunku,1997-11-14,France,Forward
Rhys,Norrington-Davies,1999-04-22,Wales,Defender
Oliver,Norwood,1991-04-12,Northern Ireland,Midfielder
Christian,Nørgaard,1994-03-10,Denmark,Midfielder
Darwin,Núñez,1999-06-24,Uruguay,Forward
Nuno,Tavares,2000-01-26,Portugal,Defender
Ethan,Nwaneri,2007-03-21,England,Midfielder
Trey,Nyoni,2007-06-30,England,Midfielder
Mark,O'Mahony,2005-01-14,Ireland,Forward
Dara,O'Shea,1999-03-04,Ireland,Defender
Wilson,Odobert,2004-11-28,France,Forward
Odel,Offiah,2002-10-26,England,Defender
Chiedozie,Ogbene,1997-05-01,Ireland,Forward
Angelo,Ogbonna,1988-05-23,Italy,Defender
Habeeb,Ogunneye,2005-11-12,England,Defender
Temple,Ojinnaka,2005-03-30,England,Midfielder
Wesley,Okoduwa,2008-05-12,England,Defender
Michael,Olise,2001-12-12,France,Forward
Robin,Olsen,1990-01-08,Sweden,Goalkeeper
Andrew,Omobamidele,2002-06-23,Ireland,Defender
Amadou,Onana,2001-08-16,Belgium,Midfielder
André,Onana,1996-04-02,Cameroon,Goalkeeper
Ryan,Oné,2006-06-26,England,Forward
Tyler,Onyango,2003-03-04,England,Midfielder
Fred,Onyedinma,1996-11-24,Nigeria,Midfielder
Frank,Onyeka,1998-01-01,Nigeria,Midfielder
Lewis,Orford,2006-02-18,England,Midfielder
Divock,Origi,1995-04-18,Belgium,Forward
Stefan,Ortega,1992-11-06,Germany,Goalkeeper
Ben,Osborn,1994-08-05,England,Midfielder
Gabriel,Osho,1998-08-14,England,Defender
Detlef,Osong,2004-09-21,England,Forward
William,Osula,2003-08-04,Denmark,Forward
Dango,Ouattara,2002-02-11,Burkina Faso,Forward
David,Ozoh,2005-05-06,England,Midfielder
Martin,Ødegaard,1998-12-17,Norway,Midfielder
Pablo,Sarabia,1992-05-11,Spain,Forward
Cole,Palmer,2002-05-06,England,Midfielder
Ben,Parkinson,2005-03-10,England,Forward
Thomas,Partey,1993-06-13,Ghana,Midfielder
Nathan,Patterson,2001-10-16,Scotland,Defender
Travis,Patterson,2005-10-06,England,Defender
Pau,Torres,1997-01-16,Spain,Defender
Sydie,Peck,2004-09-13,England,Midfielder
Pedro,Neto,2000-03-09,Portugal,Forward
Pedro,Porro,1999-09-13,Spain,Defender
Đorđe,Petrović,1999-10-08,Serbia,Goalkeeper
Cameron,Peupion,2002-09-23,Australia,Midfielder
Kalvin,Phillips,1995-12-02,England,Midfielder
Jordan,Pickford,1994-03-07,England,Goalkeeper
Axel,Piesold,2005-03-31,England,Midfielder
Ethan,Pinnock,1993-05-29,Jamaica,Defender
Cameron,Plain,2001-09-24,England,Goalkeeper
Nick,Pope,1992-04-19,England,Goalkeeper
Dan,Potts,1994-04-13,England,Defender
Sam,Proctor,2006-12-21,England,Goalkeeper
Jarell,Quansah,2003-01-29,England,Defender
Ionuț,Radu,1997-05-28,Romania,Goalkeeper
Jesurun,Rak-Sakyi,2002-10-05,England,Midfielder
Aaron,Ramsdale,1998-05-14,England,Goalkeeper
Aaron,Ramsey,2003-01-21,Wales,Midfielder
Jacob,Ramsey,2001-05-28,England,Midfielder
Darren,Randolph,1987-05-12,Ireland,Goalkeeper
Marcus,Rashford,1997-10-31,England,Forward
Jadan,Raymond,2003-10-15,England,Midfielder
Tim,Ream,1987-10-05,USA,Defender
Nathan,Redmond,1994-03-06,England,Forward
Harrison,Reed,1995-01-27,England,Midfielder
Reguilón,,1996-12-16,Spain,Defender
Gio,Reyna,2002-11-13,USA,Midfielder
Declan,Rice,1999-01-14,England,Midfielder
Chris,Richards,2000-03-28,USA,Defender
Richarlison,,1997-05-10,Brazil,Forward
Jaïro,Riedewald,1996-09-09,Netherlands,Midfielder
Matt,Ritchie,1989-09-10,Scotland,Defender
Robert,Sánchez,1997-11-18,Spain,Goalkeeper
Andy,Robertson,1994-03-11,Scotland,Defender
Antonee,Robinson,1997-08-08,USA,Defender
Jack,Robinson,1993-09-01,England,Defender
Marek,Rodák,1996-12-13,Slovakia,Goalkeeper
Kaden,Rodney,2004-10-07,England,Midfielder
Rodri,,1996-06-22,Spain,Midfielder
Rodrigo,Muniz,2001-05-04,Brazil,Forward
Rodrigo,Ribeiro,2005-04-28,Portugal,Forward
Jay,Rodriguez,1989-07-29,England,Forward
Mads,Roerslev,1999-06-24,Denmark,Defender
Morgan,Rogers,2002-07-26,England,Midfielder
Cristian,Romero,1998-04-27,Argentina,Defender
